source,query,topic_id,post_id,url,title,created_at,author_hash,reply_count,views,like_count,text,word_count,mentions_s4hana,mentions_fiori,mentions_uipath,mentions_sap_gui,T1_ui_selector_breakage,T2_data_model_transaction_change,T3_auth_landscape_access,T4_timing_reliability,T5_adaptation_method,T6_governance_change_management,T7_business_impact,T8_strategy_decision,suggested_theme_count
uipath_forum,"""SAP S/4HANA"" ""UiPath""",877129,1894645,https://forum.uipath.com/t/seamless-sap-s-4hana-uipath-integration-odata-connection-setup-guide/877129/1,Seamless SAP S/4HANA & UiPath Integration: OData Connection Setup Guide! 🚀,2025-02-17T11:02:18.059Z,9aead1bba3f3adb2,0,127,,Seamless SAP S/4HANA & UiPath Integration: OData Connection Setup Guide! 🔧 128×128 1.64 KB 00:25 – ⚙ 128×128 4.33 KB Configuring Connection Settings 128×128 3.64 KB 04:05 – 📋 128×128 2.48 KB Retrieving a List of All POs 🔍 128×128 7.22 KB 07:30 – 🛒 128×128 4.2 KB Fetching PO Details with Items 128×128 8.15 KB 10:30 – 🔄 128×128 4.37 KB Making an HTTP,75,1,0,1,0,0,1,0,0,0,0,0,0,1
uipath_forum,"""SAP S/4HANA"" ""UiPath""",259860,814521,https://forum.uipath.com/t/sapinsider-survey-results-on-process-automation-in-sap-s-4hana-uipath/259860/1,SAPinsider Survey Results on Process Automation in SAP S/4HANA | UiPath,2020-10-02T22:47:10.257Z,bbc5e661e106c6dc,0,722,,"Tanja Breitling-Zboril is Senior Manager of Partner and Alliance Management at UiPath . In a recent study sponsored by UiPath , SAPinsider surveyed 204 SAP® customers about their automation journey with SAP S/4 HANA, what drives them to automate, and the results they expect from automating SAP processes. What is driving automation? Fifty-six percent of respondents said that they already use Robotic Process Automation (RPA) platforms. The two key drivers for automation are: Empowering employees to focus on higher-value activities while freeing them from mundane tasks Optimizing processes as part of planned S/4HANA migrations Respondents mentioned that their employees’ and coworkers’ amount of work was continuously increasing while having only limited resources. In order to keep up with the increased workloads, automation helps maximize productivity by reducing the time spent on repetitive tasks. An SAP S/4HANA migration is seen as an opportunity to start fresh with optimized and automated processes. When it comes to RPA and business process management (BPM) products, the majority of customers are choosing products from third-party vendors over products from SAP directly. According to the survey results, automation is mostly applied in finance (56% of respondents), supply-chain (43%), and SAP S/4HANA migrations (39%). What are the top strategies to meet the business drivers? The survey results also identified the top three strategies for customers to achieve their automation objectives. 1. Integrating automation capabilities across SAP and non-SAP applications The top strategy by far is integrating automation capabilities across both SAP and non-SAP systems. Fifty-eight percent of respondents reported this as the key strategy. This is in line with feedback that I regularly receive from our customers. Siloed applications and media breaks between these applications are still the main cause slowing down knowledge workers in their productivity. This finding shows how important it is that RPA products provide both top-notch user interface (UI) automation capabilities as well as the pre-built native integrations for enterprise applications which are mostly applied for specific high-volume use cases. 2. Standardizing processes as part of an SAP S/4HANA migration Next, 40.5% of those surveyed stated standardizing processes as part of an SAP S/4HANA migration as the second most important strategy. I recommend customers use the momentum of an SAP S/4HANA implementation (no matter whether it is a greenfield or brownfield migration) for both standardizing processes as well as introducing RPA for automation needs in the new SAP S/4HANA environment. By doing so, customers benefit in four ways: 1. Increase the overall employee productivity and maximize ROI of the migration project 2. Reduce data entry errors and achieve data consistency 3. Increase the user acceptance for the new SAP S/4HANA system 4. Introduce automation and increase user adoption of RPA 3. Configuring and executing bots to automate processes The introduction of RPA in general and using software robots to automate processes ranks as number three of answers, given by 40% of respondents. On this specific response, the survey did not go into more detail. It would have been interesting to also know whether respondents are purely deploying bots on a departmental level or whether they have implemented a hyperautomation strategy for the complete enterprise (or are working on it). While departmental bots and smaller automation projects can help to speed up specific core processes and demonstrate quick wins, making automation a company-wide goal and inspiring all employees to both identify and implement automation ideas will: Boost the ROI of your automation project Improve your company’s agility Make your customers happier (and your competition look outdated) If you want to learn more about hyperautomation, I recommend reading our article Are You Ready for Hyperautomation? Top requirements and capabilities for successful automation The next questions in the SAPinsider survey were geared towards finding out which priorities customers have set when it comes to automation product features and general requirements for successful automation projects. 1. Flexibility of automation solutions and quick implementation The number one requirement for process automation solutions with 82% of respondents is flexibility of automation solutions and the ability to implement automation quickly. Customers do not want to spend as much time automating processes as they would otherwise need for manual tasks or a traditional integration. They also don’t want to constantly fix and repair bots as this would mean losing the benefits of automation. This comes as no surprise and is well aligned with our UiPath product strategy . UiPath has made strong investments over the past years to achieve exactly this for our customers. And this is how we did it: 1. Citizen developers : We introduced a new version of our design product for citizen developers called UiPath StudioX . This simplified tool allows business users to create their own automations without involvement of an RPA developer. If you are moderately trained, you can create automations on your own. We also have the Citizen Developer Foundation training (free and available to the public) through UiPath Academy. 2. UiPath Action Center : If you have processes that require human intelligence and decision making skills you can still automate the mundane part of your process (via UiPath Action Center) and include humans for decision making or exception handling as part of the process. 3. UiPath AI Fabric : With a tight integration of machine learning models , UiPath AI Fabric allows you to create more robust and flexible automations with added intelligence. 2. Transparency into operational processes and bottlenecks A still impressive 75% of respondents chose transparency into operational processes and bottlenecks as the second most important requirement for their selection of automation tools. The reason for this is clear - process transparency points you directly at automation potential. When you introduce automation as a broader strategic concept, you want to be able to achieve two key results: 1. Identify the processes that matter the most (those that are used most frequently and that slow your organization down the most). 2. Measure how your manual and automated processes perform and where you achieve the biggest benefits. For identifying those core processes, we offer UiPath Process Mining with an even better SAP integration since 20.8 . For tracking, measuring, and forecasting the performance of your entire automation program, we offer UiPath Insights to demonstrate the automation program ROI. Summary The results of the survey show very impressively how more and more SAP customers are deploying automation with RPA and beyond. Get a free copy of the survey results and report . RPA and process mining have moved from futuristic technologies for a few early adopters to widely used enterprise software products which support SAP customers on their journey to digital transformation, maximized process efficiency and a more fulfilling work-life. ![|1x1](upload://wetq1fnzALLIDF4fQJFcNqcDEcT.gif) This is a companion discussion topic for the original entry at http://www.uipath.com/blog/process-automation-sap-s4hana-sapinsider-survey-results",1148,1,0,1,0,0,0,0,1,1,0,1,1,4
uipath_forum,"""SAP S/4HANA"" ""UiPath""",257836,808280,https://forum.uipath.com/t/sapinsider-survey-results-on-process-automation-in-sap-s-4hana-uipath/257836/1,SAPinsider Survey Results on Process Automation in SAP S/4HANA | UiPath,2020-09-23T12:58:17.016Z,bbc5e661e106c6dc,0,644,,"Tanja Breitling-Zboril is Senior Manager of Partner and Alliance Management at UiPath . In a recent study sponsored by UiPath , SAPinsider surveyed 204 SAP® customers about their automation journey with SAP S/4 HANA, what drives them to automate, and the results they expect from automating SAP processes. What is driving automation? Fifty-six percent of respondents said that they already use Robotic Process Automation (RPA) platforms. The two key drivers for automation are: Empowering employees to focus on higher-value activities while freeing them from mundane tasks Optimizing processes as part of planned S/4HANA migrations Respondents mentioned that their employees’ and coworkers’ amount of work was continuously increasing while having only limited resources. In order to keep up with the increased workloads, automation helps maximize productivity by reducing the time spent on repetitive tasks. An SAP S/4HANA migration is seen as an opportunity to start fresh with optimized and automated processes. When it comes to RPA and business process management (BPM) products, the majority of customers are choosing products from third-party vendors over products from SAP directly. According to the survey results, automation is mostly applied in finance (56% of respondents), supply-chain (43%), and SAP S/4HANA migrations (39%). What are the top strategies to meet the business drivers? The survey results also identified the top three strategies for customers to achieve their automation objectives. 1. Integrating automation capabilities across SAP and non-SAP applications The top strategy by far is integrating automation capabilities across both SAP and non-SAP systems. Fifty-eight percent of respondents reported this as the key strategy. This is in line with feedback that I regularly receive from our customers. Siloed applications and media breaks between these applications are still the main cause slowing down knowledge workers in their productivity. This finding shows how important it is that RPA products provide both top-notch user interface (UI) automation capabilities as well as the pre-built native integrations for enterprise applications which are mostly applied for specific high-volume use cases. 2. Standardizing processes as part of an SAP S/4HANA migration Next, 40.5% of those surveyed stated standardizing processes as part of an SAP S/4HANA migration as the second most important strategy. I recommend customers use the momentum of an SAP S/4HANA implementation (no matter whether it is a greenfield or brownfield migration) for both standardizing processes as well as introducing RPA for automation needs in the new SAP S/4HANA environment. By doing so, customers benefit in four ways: 1. Increase the overall employee productivity and maximize ROI of the migration project 2. Reduce data entry errors and achieve data consistency 3. Increase the user acceptance for the new SAP S/4HANA system 4. Introduce automation and increase user adoption of RPA 3. Configuring and executing bots to automate processes The introduction of RPA in general and using software robots to automate processes ranks as number three of answers, given by 40% of respondents. On this specific response, the survey did not go into more detail. It would have been interesting to also know whether respondents are purely deploying bots on a departmental level or whether they have implemented a hyperautomation strategy for the complete enterprise (or are working on it). While departmental bots and smaller automation projects can help to speed up specific core processes and demonstrate quick wins, making automation a company-wide goal and inspiring all employees to both identify and implement automation ideas will: Boost the ROI of your automation project Improve your company’s agility Make your customers happier (and your competition look outdated) If you want to learn more about hyperautomation, I recommend reading our article Are You Ready for Hyperautomation? Top requirements and capabilities for successful automation The next questions in the SAPinsider survey were geared towards finding out which priorities customers have set when it comes to automation product features and general requirements for successful automation projects. 1. Flexibility of automation solutions and quick implementation The number one requirement for process automation solutions with 82% of respondents is flexibility of automation solutions and the ability to implement automation quickly. Customers do not want to spend as much time automating processes as they would otherwise need for manual tasks or a traditional integration. They also don’t want to constantly fix and repair bots as this would mean losing the benefits of automation. This comes as no surprise and is well aligned with our UiPath product strategy . UiPath has made strong investments over the past years to achieve exactly this for our customers. And this is how we did it: 1. Citizen developers : We introduced a new version of our design product for citizen developers called UiPath StudioX . This simplified tool allows business users to create their own automations without involvement of an RPA developer. If you are moderately trained, you can create automations on your own. We also have the Citizen Developer Foundation training (free and available to the public) through UiPath Academy. 2. UiPath Action Center : If you have processes that require human intelligence and decision making skills you can still automate the mundane part of your process (via UiPath Action Center) and include humans for decision making or exception handling as part of the process. 3. UiPath AI Fabric : With a tight integration of machine learning models , UiPath AI Fabric allows you to create more robust and flexible automations with added intelligence. 2. Transparency into operational processes and bottlenecks A still impressive 75% of respondents chose transparency into operational processes and bottlenecks as the second most important requirement for their selection of automation tools. The reason for this is clear - process transparency points you directly at automation potential. When you introduce automation as a broader strategic concept, you want to be able to achieve two key results: 1. Identify the processes that matter the most (those that are used most frequently and that slow your organization down the most). 2. Measure how your manual and automated processes perform and where you achieve the biggest benefits. For identifying those core processes, we offer UiPath Process Mining with an even better SAP integration since 20.8 . For tracking, measuring, and forecasting the performance of your entire automation program, we offer UiPath Insights to demonstrate the automation program ROI. Summary The results of the survey show very impressively how more and more SAP customers are deploying automation with RPA and beyond. Get a free copy of the survey results and report . RPA and process mining have moved from futuristic technologies for a few early adopters to widely used enterprise software products which support SAP customers on their journey to digital transformation, maximized process efficiency and a more fulfilling work-life. ![|1x1](upload://wetq1fnzALLIDF4fQJFcNqcDEcT.gif) This is a companion discussion topic for the original entry at https://www.uipath.com/blog/process-automation-sap-s4hana-sapinsider-survey-results",1148,1,0,1,0,0,0,0,1,1,0,1,1,4
uipath_forum,"""SAP S/4HANA"" ""UiPath""",789281,1866386,https://forum.uipath.com/t/how-to-automate-sap-s-4hana-login-using-uipath-tutorial/789281/1,How To Automate SAP S/4HANA Login using UiPath (Tutorial),2024-12-13T14:48:48.203Z,17ebe7877bea812d,0,79,,Description This tutorial will teach you in 4 minutes how to automate the login into SAP S/4 Hana with UiPath automation platform. Link Date 2024-11-28 Related UiPath products Studio,32,1,0,1,0,0,0,1,0,0,0,0,0,1
uipath_forum,"""SAP S/4HANA"" ""UiPath""",4376580,2054413,https://forum.uipath.com/t/uipath-accelerator-for-sap-s-4hana-for-manufacturing/4376580/1,UiPath Accelerator for SAP S/4HANA for Manufacturing,2025-08-13T08:18:23.167Z,f2753557ec294585,0,54,,"I need some help with the UiPath Accelerator for SAP S/4HANA for Manufacturing . When I try to open one of the workflow files ( .xaml ) from the accelerator package in my development environment, Studio throws a critical error and fails to load the file. The Problem The specific error I’m receiving is: Old XAML format using ViewStateManager is not supported. It seems that the XAML files included in this accelerator were created with an older version of UiPath Studio. My modern Studio version can no longer interpret this old format, which apparently relies on ViewStateManager . My Questions What is the recommended process to upgrade or migrate these older XAML files to make them compatible with the latest Studio versions? Is there a newer version of the SAP S/4HANA for Manufacturing Accelerator that is already compatible? Has anyone else encountered this and found a reliable workaround? Environment & Error Details For full context, here is my environment information and the complete error log. Product: UiPath Accelerator for SAP S/4HANA for Manufacturing Studio Version: 25.0.172-cloud.20747 Target Framework: (Please specify if it’s Windows-Legacy, Windows, or Cross-platform) Full Error Stack Trace: Error: RemoteException wrapping System.NotSupportedException: Old XAML format using ViewStateManager is not supported. at UiPath.Studio.Plugin.Workflow.WorkflowHandling.DesignerBuilder.LoadFileInDesigner(String fileName, WorkflowDesigner designer) at UiPath.Studio.Plugin.Workflow.WorkflowHandling.DesignerBuilder.BuildInternal(DesignerEventsSubscriber eventsSubscriber, String workflowId, String fileName) at UiPath.Studio.Plugin.Workflow.WorkflowHandling.DesignerBuilder.Build(DesignerEventsSubscriber eventsSubscriber, String workflowId, String fileName) at UiPath.Studio.Plugin.Workflow.WorkflowHandling.DesignerWrapper.LoadAsync(String fileName) at UiPath.Studio.Plugin.Workflow.Services.DesignerFileProjectEndpoint.<>c__DisplayClass11_0.<<Load>b__0>d.MoveNext() --- End of stack trace from previous location --- at UiPath.Studio.Plugin.Workflow.Services.DesignerFileProjectEndpoint.<>c__DisplayClass11_0.<<Load>b__0>d.MoveNext() --- End of stack trace from previous location --- at UiPath.Studio.Shared.MVVM.Services.DispatcherService.InvokeAsync(Func 1 func) at UiPath.Studio.Plugin.Workflow.Services.DesignerFileProjectEndpoint.Load(String fileName) at UiPath.CoreIpc.Server.<>c__DisplayClass7_3.<<-ctor>g__InvokeMethod|6>d.MoveNext() — End of stack trace from previous location — at UiPath.CoreIpc.Server.<>c__DisplayClass7_1.<<-ctor>g__HandleRequest|3>d.MoveNext() — End of stack trace from previous location — at UiPath.CoreIpc.Server.<>c__DisplayClass7_2.<<-ctor>b__5>d.MoveNext() — End of stack trace from previous location — at UiPath.CoreIpc.Helpers.Timeout[TResult](TimeSpan timeout, List 1 cancellationTokens, Func 2 func, String message, Func 2 exceptionHandler), HResult -2146233088 Any guidance or help would be greatly appreciated. Thank you!",399,1,0,1,0,0,0,0,1,1,0,0,1,3
uipath_forum,"""SAP S/4HANA"" ""UiPath""",4376580,2054440,https://forum.uipath.com/t/uipath-accelerator-for-sap-s-4hana-for-manufacturing/4376580/2,UiPath Accelerator for SAP S/4HANA for Manufacturing,2025-08-13T08:45:36.903Z,f7a6c3b277ff0b4c,0,54,,Install an older UiPath Studio that still supports ViewStateManager and Open the .xaml in that version — it should load fine. Save the file without making changes — Studio will automatically convert the metadata to the modern format. Then reopen it in your current Studio (25.x) — it should now load. Or you can remove the ViewStateManager by opening the xaml in text editor like vs code and find the sap2010:ViewStateManager element and delete it then save and reopen it. Hope this find you needful if it does then mark it as SOLUTION Happy Automation,94,1,0,1,0,0,0,0,0,0,0,1,0,1
uipath_forum,"""SAP S/4HANA"" ""UiPath""",472677,1318126,https://forum.uipath.com/t/uipath-accelerator-for-sap-s-4hana-for-sales/472677/1,UiPath Accelerator for SAP S/4HANA for Sales,2022-09-13T12:43:35.764Z,6a0be6c306688f87,0,1110,,"Hello team. We are working on UiPath Accelerator for SAP S/4HANA for Sales ( Bot is Assign FI Supplier role to existing business partner (WinGUI, Tcode: BP Bot is not able to type in the ReconciliationAcct. We have passed this input in input template. Bit still getting business exception. image 1510×664 27.4 KB image 1426×883 36.4 KB image 1009×424 18.2 KB",67,1,0,1,0,0,1,1,0,1,0,0,0,3
uipath_forum,"""SAP S/4HANA"" ""UiPath""",472677,1319975,https://forum.uipath.com/t/uipath-accelerator-for-sap-s-4hana-for-sales/472677/2,UiPath Accelerator for SAP S/4HANA for Sales,2022-09-15T16:01:12.188Z,bbc5e661e106c6dc,0,1110,,"Hello @happyfeat87 ! It seems that you have trouble getting an answer to your question in the first 24 hours. Let us give you a few hints and helpful links. First, make sure you browsed through our Forum FAQ Beginner’s Guide . It will teach you what should be included in your topic. You can check out some of our resources directly, see below: Always search first . It is the best way to quickly find your answer. Check out the icon for that. Clicking the options button will let you set more specific topic search filters, i.e. only the ones with a solution. Topic that contains most common solutions with example project files can be found here . Read our official documentation where you can find a lot of information and instructions about each of our products: Watch the videos on our official YouTube channel for more visual tutorials. Meet us and our users on our Community Slack and ask your question there. Hopefully this will let you easily find the solution/information you need. Once you have it, we would be happy if you could share your findings here and mark it as a solution. This will help other users find it in the future. Thank you for helping us build our UiPath Community! Cheers from your friendly Forum_Staff",219,1,0,1,0,1,0,0,0,0,0,1,0,2
uipath_forum,"""SAP S/4HANA"" ""UiPath""",550403,1515403,https://forum.uipath.com/t/sap-s-4hana-migration-with-uipath-rpa/550403/1,SAP S/4HANA Migration with UiPath RPA,2023-06-01T16:33:39.214Z,94f929b94f474fff,0,747,,"HI , How can we use RPA technology with the UiPath Studio tool to Test the performance of SAP S/4HANA Migration? How is going so far ? Are there specific processes to test this SAP S/4HANA Migration performance? Does the UiPath company provide predefined products to test this migration? How to test for example database performance after SAP S/4HANA migration? Regards ,",62,1,0,1,0,0,0,0,0,1,0,0,0,1
uipath_forum,"""SAP S/4HANA"" ""UiPath""",550403,1515461,https://forum.uipath.com/t/sap-s-4hana-migration-with-uipath-rpa/550403/2,SAP S/4HANA Migration with UiPath RPA,2023-06-01T18:31:33.533Z,c1c4c2441c354413,0,747,,"Can you check their solution accelerators if something is there regarding this, try below links: UiPath Accelerator for SAP S/4HANA for Procurement - RPA Component | UiPath Marketplace Solution Accelerators Automation Applications - UiPath Marketplace Collection",34,1,0,1,0,0,0,0,0,0,0,0,0,0
