case_id,title,url,date_posted,date_last_reply,replies,views,category,key_failure_mode,resolution,quote
1,Impact of SAP GUI upgrade from 750 to 760 on existing automations,https://forum.uipath.com/t/impact-of-sap-gui-upgrade-from-750-to-760-on-existing-automations/191812,2020-02-06,2021-04-22,8,9892,GUI version upgrade,Selector with aaname attribute broke after upgrading from SAP GUI 740 to 770; minor attribute change in the underlying element tree was enough to break the automation,Switching to SAP Scripting interface-based selectors (UI Automation activity group) made selectors stable across theme/version changes; teams not yet using scripting interface had to re-test all ~35 projects end to end,"the change is minimal but the aaname not being there still breaks the automation"
2,Problem with SAP version migrating from version 750 to 760,https://forum.uipath.com/t/problem-with-sap-version-migrating-from-version-750-to-760/542091,2023-05-05,2023-05-05,10,734,GUI version upgrade,A specific UI element (selection box in a table column) was no longer detectable by UiExplorer after the GUI version bump; same theme and configuration as before,UiPath support staff could not resolve it in-thread; user told to open a formal support incident,"I am migrating from SAP version 750 to version 760 and I am having problems with a selector... it seems to be not detected"
3,SAP S4H Upgrade 760-770 Impact on UiPath BAPI Automation,https://forum.uipath.com/t/sap-s4h-upgrade-760-770-impact-on-uipath-bapi-automation/455911,2022-07-12,2022-07-20,12,unknown,S/4HANA backend + GUI upgrade combined,Background BAPI calls hung indefinitely with no error after simultaneous S/4HANA backend upgrade (1610->2021) and SAP GUI upgrade (760->770); root cause traced to outdated SAP_NCo .NET connector failing to handle changed BAPI metadata,Upgrading the SAP Connector for Microsoft (NCo) from 3.0.21 to 3.0.24 resolved the hang; also required enabling Stateful Connection=True in the SAP Application Scope activity,"the robot just hangs at the stage where the BAPI_XMI_LOGON is triggered... we dont see any errors but the code execution doesn't move forward"
4,SAP 770 Selector Issue (Knowledge Base),https://forum.uipath.com/t/sap-770-selector-issue/503153,2022-12-29,2022-12-29,0,unknown,GUI version upgrade + multi-monitor scaling,Selectors could not be highlighted properly in SAP 770 specifically when multi-monitor setups had different DPI scaling settings between monitors,Documented as a known UiPath issue with workaround steps in the Knowledge Base,"It works fine with SAP 750 and SAP 760 but not with SAP 770. With the introduction of multi-monitor scaling an additional category of issues appears"
5,How much does an upgrade from SAP 7.70 to 8.00 affect robots?,https://forum.uipath.com/t/how-much-does-a-upgrade-from-sap-7-70-to-8-00-affect-robots/639005,2023-10-13,2023-10-13,unknown,unknown,GUI version upgrade,User proactively asking the community what historically breaks when upgrading SAP GUI major versions before doing it themselves,Preventive/anecdotal thread rather than a resolved incident,"Has anyone already done this upgrade that knows what parts of the robot were affected?"
6,Bots on SAP GUI 760 run slower than those on 740 and 750,https://forum.uipath.com/t/bots-on-sap-gui-760-run-slower-than-those-on-740-and-750/133786,2019-07-15,2019-07-15,unknown,unknown,GUI version upgrade - performance regression,Bots ran roughly 25% slower on SAP GUI 760 vs older versions with no code change,Not resolved in visible thread content,"the bots are much faster about 25% from what I have tested"
7,SAP v750 not detecting GUI elements even after scripting enable,https://forum.uipath.com/t/sap-v750-not-detecting-gui-elements-even-after-scripting-enable/126770,2019-06-20,2019-06-20,unknown,unknown,GUI scripting / permission config,UI elements not detected in UI Explorer even with GUI scripting enabled on both client and server side,Unresolved in visible content,"The problem is that the UI elements are not being detected even on UI Explorer"
8,Migrate Data From SAP ECC to S4 HANA using UiPath,https://forum.uipath.com/t/migrate-data-from-sap-ecc-to-s4-hana-using-uipath/405292,2022-03-08,2022-03-11,0,131,ECC to S/4HANA data migration,User asking how to use RPA itself as a tool for executing the ECC-to-S4HANA data migration,Question thread, no resolution captured in metadata,"Migrate Data From Sap Ecc To S4 Hana Using Uipath"
9,SAP S/4HANA Migration with UiPath RPA,https://forum.uipath.com/t/sap-s-4hana-migration-with-uipath-rpa/550403,2023-06-01,2023-06-03,0,93,S/4HANA migration - testing,Discussion of using RPA for regression testing automations across an S/4HANA migration,Not captured in metadata,"test, sap, hana, migration, performance"
10,SAP desktop to S4 HANA migration,https://forum.uipath.com/t/sap-desktop-to-s4-hana-migration/820603,2025-01-15,2025-01-15,1,105,S/4HANA migration,Migration from SAP desktop client to S/4HANA raising RPA adaptation questions,Not captured in metadata,"migration, hana, rpa, process, data"
